date,amount,descr
11/04/2020,-45.14,sol
07/12/2019,-7.8,sol
27/08/2019,-80,ohm
21/12/2020,-29.99,sol
10/11/2019,-120,dol
08/08/2020,-3.84,sol
07/06/2020,-40.07,sol
06/11/2020,-39.5,dol
22/03/2021,-20.24,sol
16/04/2021,-10.4,dol
13/06/2021,-10.4,dol
21/07/2019,-103.63,sol
08/01/2021,-20.5,dol
14/11/2020,-13.9,dol
30/04/2020,-75,gul
04/04/2020,-49,sol
23/07/2019,-13.5,dol
03/11/2019,-35,um
28/01/2020,-8,dol
03/05/2020,-34,um
18/08/2019,-10.19,sol
04/09/2020,-38.22,sol
28/05/2021,-29.57,sol
14/11/2019,-8,sol
26/06/2020,-6.6,sol
01/12/2019,-9.2,dol
18/09/2019,-18,dol
11/01/2020,-25.27,dol
31/12/2019,-75,gul
02/11/2019,-10.4,sol
06/12/2020,-3,sol
30/05/2020,-75,gul
17/05/2021,-43.5,dol
30/10/2020,-75,gul
26/10/2020,-19.99,ko
24/12/2019,-19.99,ko
11/01/2021,-2.72,sol
28/02/2021,-1314,zod
26/03/2021,-2.9,hel
13/02/2021,-17.65,sol
02/09/2020,-75,gul
15/02/2020,-10.85,sol
22/02/2021,-25.9,dol
03/08/2019,-13,sol
21/10/2020,-35.06,sol
14/09/2019,-10.99,dol
19/11/2019,-1.32,io
02/04/2020,-10.64,sol
02/08/2019,-35,dol
30/11/2019,-36.61,sol
20/06/2020,-20.7,fal
31/03/2020,-902,jah
19/08/2020,-3.98,sol
28/03/2021,-31.93,sol
22/03/2020,-24.34,sol
02/03/2021,-4,dol
31/05/2021,-20.52,sol
06/01/2021,-9.44,sol
04/10/2019,-19.93,sol
30/01/2021,-10.4,dol
08/11/2020,-42.34,sol
18/07/2020,-33.17,sol
08/10/2019,-30,dol
30/06/2021,-902,jah
15/05/2021,-10.47,sol
22/02/2021,-3,sol
23/08/2020,-5.09,sol
03/10/2020,-3.4,sol
24/01/2021,-1.2,sol
10/10/2020,-4.44,sol
24/07/2019,-19.99,ko
31/08/2019,-41.49,sol
17/07/2019,-2042,jah
05/09/2020,-1.52,sol
24/09/2019,-19.99,ko
24/08/2020,-19.99,ko
12/09/2019,-11.99,sol
08/02/2020,-16,sol
06/03/2021,-10.4,dol
21/11/2019,-11.53,hel
14/01/2021,-28.89,sol
20/04/2021,-229,sur
28/07/2020,-75,gul
22/02/2020,-10.35,sol
25/01/2020,-46.16,sol
09/11/2019,-34.44,sol
30/07/2020,-75,gul
18/04/2020,-3,sol
01/06/2020,-20,lem
08/08/2019,-3.5,sol
09/05/2020,-56.74,sol
01/04/2021,-31.21,sol
06/02/2021,-32.47,sol
01/03/2021,-38.4,dol
26/10/2019,-75,gul
06/07/2021,-3.9,sol
30/08/2019,-75,gul
30/04/2021,-6.11,sol
26/09/2020,-38.85,sol
13/05/2021,-8,dol
03/01/2021,-15.4,fal
30/06/2021,-75,gul
16/08/2020,-29.06,sol
15/04/2021,-11.2,io
19/03/2021,-40.39,sol
17/08/2019,-34.41,sol
05/01/2021,-1.5,sol
02/12/2020,-5.87,sol
19/09/2020,-30.69,sol
30/11/2019,-902,jah
08/08/2019,-57.35,lo
11/09/2019,-13.3,dol
21/07/2019,-867,ber
30/06/2020,-902,jah
25/05/2020,-19.99,ko
08/02/2021,-10.4,dol
18/10/2019,-12.9,dol
05/03/2021,-41.5,sol
10/04/2021,-5.76,sol
31/12/2020,-15,io
05/02/2021,-15,fal
25/11/2019,-19.99,ko
08/05/2021,-31.94,dol
01/07/2020,-75,gul
03/10/2019,-50,io
05/07/2021,-10.4,dol
08/12/2019,-75.93,ist
18/12/2019,-4.2,dol
07/03/2021,-10.4,dol
17/05/2020,-3,sol
13/03/2020,-4,dol
16/05/2020,-23.3,sol
15/04/2020,-7,sol
06/12/2019,-20.5,sol
01/09/2019,-4.8,sol
14/11/2020,-33.33,sol
11/10/2019,-33,dol
22/11/2019,-25.51,sol
28/02/2021,-22,sol
10/07/2021,-10.4,dol
27/12/2020,-10.7,sol
27/03/2021,-18.28,fal
30/04/2021,-902,jah
02/01/2021,-4.31,sol
19/06/2020,-6,sol
06/12/2020,-2.57,sol
31/07/2019,-902,jah
23/03/2020,-27.24,um
20/08/2020,-31,um
01/12/2019,-20.13,sol
06/11/2019,-6996.83,zod
18/06/2021,-3,sol
29/05/2021,-6.25,sol
03/02/2021,-42.99,sol
30/01/2020,-75,gul
15/03/2021,-5,fal
18/04/2020,-9,fal
02/11/2019,-13,sol
20/08/2020,-10,fal
02/07/2020,-1632,zod
19/06/2021,-31.01,sol
18/09/2019,-16.5,dol
10/02/2021,-73,lem
07/03/2020,-34.73,sol
28/03/2021,-2.97,sol
29/11/2019,-14.6,sol
17/08/2019,-38,fal
22/03/2020,-3.62,sol
26/04/2020,-29.32,sol
22/02/2020,-29.52,sol
25/04/2021,-23,dol
08/03/2020,-3.38,sol
30/08/2020,-11.2,sol
25/08/2019,-50.13,sol
30/08/2020,-4.93,sol
19/04/2020,-31.85,sol
27/08/2019,-75,gul
30/12/2020,-75,gul
28/12/2020,-28,dol
20/03/2020,-49.75,sol
26/11/2020,-75,gul
14/07/2019,-29.43,sol
16/11/2019,-39.49,sol
20/05/2020,-9,sol
24/11/2020,-19.99,ko
23/11/2020,-34,um
19/11/2020,-1.02,sol
11/02/2021,-25.63,sol
03/10/2020,-8.39,sol
28/12/2019,-75,gul
01/02/2020,-47.75,sol
13/03/2020,-3.8,sol
29/07/2019,-33.7,pul
14/12/2019,-16.99,sol
19/08/2020,-4.26,sol
10/11/2019,-36.35,sol
12/12/2019,-7.5,dol
06/09/2019,-50,io
24/08/2019,-23.4,dol
26/04/2021,-12,dol
30/12/2019,-27.98,sol
21/11/2020,-13.9,dol
05/06/2020,-8,sol
19/07/2019,-18.99,dol
24/05/2021,-11.3,sol
04/08/2019,-1.5,sol
21/06/2021,-11.06,sol
08/06/2020,-3,sol
15/04/2020,-21,sol
23/12/2020,-12.5,dol
17/07/2019,-883,zod
27/07/2019,-31.14,sol
02/03/2021,-12.9,dol
17/11/2020,-292.48,io
11/11/2020,-6.75,sol
05/01/2021,-1.8,sol
31/10/2020,-902,jah
05/03/2021,-427.56,fal
22/11/2019,-13.3,dol
30/09/2019,-867,jah
04/12/2019,-287.87,fal
02/08/2019,-200,ohm
11/08/2019,-35.01,sol
24/10/2019,-9,dol
05/02/2021,-10.4,dol
30/08/2019,-120,ohm
26/06/2021,-33.9,sol
13/05/2020,-3.54,sol
07/07/2020,-39.52,sol
01/11/2019,-7.5,dol
08/01/2021,-28.38,sol
27/03/2020,-10,dol
25/01/2021,-19.99,ko
23/07/2019,-15,dol
27/05/2020,-3,sol
21/05/2021,-28.57,sol
18/10/2020,-1.37,sol
25/03/2021,-8,dol
28/10/2019,-11.85,sol
30/11/2019,-18.9,dol
07/11/2020,-4.66,sol
15/09/2019,-2,sol
23/02/2021,-19.99,ko
30/01/2021,-75,gul
01/05/2021,-10.4,dol
14/05/2021,-35.28,sol
01/03/2021,-10.4,dol
12/12/2020,-26.56,sol
03/11/2020,-3.96,sol
27/05/2020,-75,gul
26/06/2021,-10.4,dol
07/12/2019,-61.95,lem
27/05/2020,-3,sol
02/10/2019,-59.18,um
26/07/2020,-6,sol
22/01/2021,-37.34,sol
15/11/2020,-8,sol
10/12/2019,-13.9,dol
29/06/2021,-5.74,sol
09/09/2019,-11.2,dol
26/11/2020,-8.8,sol
14/08/2019,-43.29,mal
01/08/2019,-3.5,sol
24/04/2020,-19.99,ko
18/10/2020,-11,sol
10/05/2021,-12.5,dol
11/04/2021,-24.64,sol
08/05/2021,-97,dol
23/09/2020,-17.04,sol
24/10/2020,-1314,zod
30/04/2020,-0.91,el
17/02/2021,-11.99,fal
15/03/2021,-13.5,dol
14/05/2021,-10.4,dol
17/04/2020,-1632,zod
09/12/2020,-4.05,sol
26/06/2021,-75,gul
26/11/2019,-29.33,um
31/05/2020,-3,sol
09/10/2019,-12.95,dol
30/11/2020,-902,jah
10/04/2021,-4.63,sol
01/06/2021,-0.39,el
05/12/2019,-3.8,sol
20/10/2020,-220,sur
20/02/2021,-12.84,sol
01/11/2020,-7.86,sol
17/07/2020,-10.85,sol
10/04/2020,-14.4,hel
05/11/2019,-27,um
15/02/2020,-12.99,sol
06/12/2020,-5.5,sol
28/09/2020,-17.57,sol
03/04/2020,-9.77,sol
28/04/2021,-75,gul
29/07/2020,-20,lem
19/12/2020,-35,dol
10/12/2019,-8.1,dol
08/09/2019,-32.32,sol
26/03/2021,-15.23,sol
20/02/2021,-10.4,dol
15/12/2019,-4.42,sol
01/10/2019,-75,gul
24/10/2020,-4,sol
08/10/2020,-7.5,hel
26/03/2020,-39.35,sol
28/01/2021,-75,gul
26/07/2020,-8.71,sol
03/05/2021,-10.4,dol
10/04/2020,-3,sol
01/03/2020,-16.28,sol
23/02/2021,-35,um
09/07/2020,-8,sol
05/01/2020,-23.92,sol
01/05/2020,-1322.4,cham
15/08/2019,-1.61,sol
13/04/2020,-17.59,sol
05/10/2019,-35.21,sol
08/04/2021,-7.62,sol
25/10/2020,-4.72,sol
13/12/2020,-33.75,lem
16/10/2020,-42.79,sol
20/11/2020,-48.4,sol
27/11/2019,-3.9,sol
03/03/2021,-75,gul
04/07/2021,-25,dol
28/06/2020,-8,dol
17/04/2021,-5.28,sol
09/04/2021,-10.03,sol
10/10/2020,-29.99,sol
16/09/2020,-292.98,fal
02/12/2019,-4.6,sol
26/12/2019,-5.95,sol
27/03/2021,-9.2,dol
02/01/2020,-4.2,dol
26/09/2019,-80.11,sol
12/03/2021,-15.43,sol
07/05/2021,-20.55,sol
02/08/2020,-24,fal
13/10/2019,-17.99,lem
18/04/2021,-13.8,dol
17/11/2020,-1.2,io
23/10/2019,-13.8,dol
11/09/2019,-26,um
24/03/2021,-19.99,ko
16/12/2020,-1.5,sol
15/09/2019,-1541,zod
26/04/2021,-12.5,dol
31/12/2019,-902,jah
18/12/2020,-26.34,sol
22/03/2021,-30.04,um
04/12/2020,-45.09,sol
31/03/2021,-902,jah
31/12/2019,-16.72,sol
07/01/2020,-14.23,hel
30/09/2020,-33.6,sol
23/05/2020,-28.69,sol
03/07/2021,-35.14,sol
12/09/2019,-13.9,dol
04/08/2019,-6,sol
11/07/2020,-3,sol
29/11/2019,-17,dol
03/11/2019,-55.06,sol
30/12/2020,-75,gul
30/01/2021,-29.41,sol
03/12/2019,-13.9,dol
28/06/2021,-12,dol
30/10/2019,-8,dol
24/07/2020,-19.99,ko
13/03/2021,-10.4,dol
20/10/2019,-17.3,sol
23/08/2019,-10.9,io
29/09/2019,-8,sol
11/12/2019,-6,sol
21/08/2020,-8,sol
19/02/2021,-10.4,dol
12/02/2020,-1723,zod
10/09/2019,-30,dol
28/02/2021,-902,jah
03/08/2019,-38.5,sol
31/07/2019,-75,gul
26/02/2021,-75,gul
16/10/2019,-52,ist
16/08/2019,-4.94,sol
23/04/2021,-10.4,dol
15/07/2019,-2,sol
23/12/2020,-200,lem
12/07/2020,-32.37,sol
25/10/2020,-24.98,sol
17/07/2019,-10,sol
17/10/2019,-8.59,hel
17/09/2020,-29.27,sol
13/11/2019,-13.3,dol
12/06/2021,-9.55,sol
28/06/2020,-10.3,sol
29/02/2020,-902,jah
26/09/2020,-75,gul
25/10/2019,-16,dol
14/01/2020,-8,dol
29/02/2020,-61.81,sol
03/01/2021,-9.5,dol
